date,floor,garage,image_urls,images,link,m2,off,price,rooms,title
05-11-2018,1ª,0,https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/1e/fa/d6/579041494.jpg,"[{'url': 'https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/1e/fa/d6/579041494.jpg', 'path': 'full/ec6be432cefd4889e74128fbfb6fc3d44986d5c8.jpg', 'checksum': '85d9a17179b3f3b8f215a0aa0ddc3914'}]",https://www.idealista.com/inmueble/81551425/,222,0,1295000,4,"Piso en ROGER LLURIA, La Dreta de l'Eixample, Barcelona"
05-11-2018,1ª,0,https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/d9/12/4e/581718653.jpg,"[{'url': 'https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/d9/12/4e/581718653.jpg', 'path': 'full/0619d112861c5c60e7509655d426eafa2d7696dd.jpg', 'checksum': '28ff4b763ee9b3606a05a314924f2db6'}]",https://www.idealista.com/inmueble/81629838/,142,0,690000,3,"Piso en Sant Pere - Santa Caterina i la Ribera, Barcelona"
05-11-2018,1ª,0,https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/fd/fa/72/579300058.jpg,"[{'url': 'https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/fd/fa/72/579300058.jpg', 'path': 'full/2815b1ec939002e35d885da520a2a1c09103c7f5.jpg', 'checksum': 'fc34a5cade1c674cf893a1a98ceed30d'}]",https://www.idealista.com/inmueble/81563918/,120,0,550000,3,"Piso en El Gòtic, Barcelona"
05-11-2018,10ª,1,https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/f9/67/bf/602406368.jpg,"[{'url': 'https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/f9/67/bf/602406368.jpg', 'path': 'full/6effe607857b8b4e92650bf2a6d1d17f28dc2a01.jpg', 'checksum': 'ab6bb87efa3b3f1095f007638364aab3'}]",https://www.idealista.com/inmueble/81877625/,115,0,1270000,3,"Piso en Diagonal Mar i el Front Marítim del Poblenou, Barcelona"
05-11-2018,5ª,0,https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/d3/7c/58/276783531.jpg,"[{'url': 'https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/d3/7c/58/276783531.jpg', 'path': 'full/a7415829d35122a04bbfe7ae8186475035a58a41.jpg', 'checksum': '240b599367404d727e50874b819a6ef4'}]",https://www.idealista.com/inmueble/40254305/,332,0,1725000,5,"Piso en Sant Gervasi - Galvany, Barcelona"
05-11-2018,,0,https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/a5/ab/11/599774859.jpg,"[{'url': 'https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/a5/ab/11/599774859.jpg', 'path': 'full/6247a59d3f43d0c2b335c40c07b65c9d71b96710.jpg', 'checksum': 'ac2f7e277d8d1274dc601b1156e14853'}]",https://www.idealista.com/inmueble/82538071/,253,0,1000000,3,"Chalet en calle dels Bohemis, Vallvidrera - El Tibidabo i les Planes, Barcelona"
05-11-2018,6ª,0,https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/e7/e4/04/224057900.jpg,"[{'url': 'https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/e7/e4/04/224057900.jpg', 'path': 'full/7b3d6ea2bdf7789a3670b6b0935e88071240763b.jpg', 'checksum': '2bc63ddf7dc9d228adb31612f1d43789'}]",https://www.idealista.com/inmueble/33987295/,400,0,3800000,6,"Ático en calle Carrer Francesc Pérez Cabrero, Sant Gervasi - Galvany, Barcelona"
05-11-2018,3ª,0,https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/13/47/a5/582786964.jpg,"[{'url': 'https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/13/47/a5/582786964.jpg', 'path': 'full/7adced0c4c2a98326299fced96de47137ba461ce.jpg', 'checksum': '295bcf1d4d4250585723166123ac0b26'}]",https://www.idealista.com/inmueble/39193246/,121,0,610000,3,"Piso en El Poblenou, Barcelona"
05-11-2018,3ª,0,https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/30/c4/36/271264223.jpg,"[{'url': 'https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/30/c4/36/271264223.jpg', 'path': 'full/b10421d577916ebb8c72ea20ad70bc3bd6bd51c7.jpg', 'checksum': '9d5f90617744bbf09d7f1f8a046ce638'}]",https://www.idealista.com/inmueble/39952774/,82,0,355000,3,"Piso en La Nova Esquerra de l'Eixample, Barcelona"
05-11-2018,,0,https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/a2/4d/42/241066904.jpg,"[{'url': 'https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/a2/4d/42/241066904.jpg', 'path': 'full/5111b3a0e77d0f085d955915434660060ad2759b.jpg', 'checksum': '85869ef1b257526355be2d64468779f8'}]",https://www.idealista.com/inmueble/37742012/,124,0,545000,3,"Piso en Vila de Gràcia, Barcelona"
